time,stamp_secs,stamp_nsecs,report
2026/06/04 15:16:52.95668387,1780597012,70064512,0
2026/06/04 15:16:52.95808039,1780597012,90067243,0
2026/06/04 15:16:52.110463718,1780597012,110050840,0
2026/06/04 15:16:52.130636212,1780597012,130100724,0
2026/06/04 15:16:52.150697894,1780597012,150104538,0
2026/06/04 15:16:52.170643375,1780597012,170083994,0
2026/06/04 15:16:52.190789268,1780597012,190105719,0
2026/06/04 15:16:52.210907777,1780597012,210124813,0
2026/06/04 15:16:52.231152619,1780597012,230171385,0
2026/06/04 15:16:52.250779102,1780597012,250139323,0
2026/06/04 15:16:52.270520213,1780597012,270107920,0
2026/06/04 15:16:52.290841326,1780597012,290154609,0
2026/06/04 15:16:52.311426328,1780597012,310265285,0
2026/06/04 15:16:52.330913630,1780597012,330167880,0
2026/06/04 15:16:52.350633660,1780597012,350107785,0
2026/06/04 15:16:52.370698612,1780597012,370088745,0
2026/06/04 15:16:52.390837238,1780597012,390126599,0
2026/06/04 15:16:52.410572084,1780597012,410085910,0
2026/06/04 15:16:52.430587575,1780597012,430120081,0
2026/06/04 15:16:52.450582825,1780597012,450094674,0
2026/06/04 15:16:52.471108565,1780597012,470146901,0
2026/06/04 15:16:52.490967732,1780597012,490115491,0
2026/06/04 15:16:52.510791137,1780597012,510087855,0
2026/06/04 15:16:52.530945623,1780597012,530221125,0
2026/06/04 15:16:52.550772124,1780597012,550193633,0
2026/06/04 15:16:52.570639237,1780597012,570148352,0
2026/06/04 15:16:52.590672451,1780597012,590131447,0
2026/06/04 15:16:52.610879038,1780597012,610111943,0
2026/06/04 15:16:52.630769946,1780597012,630153127,0
2026/06/04 15:16:52.650808262,1780597012,650121309,0
2026/06/04 15:16:52.671153451,1780597012,670217252,0
2026/06/04 15:16:52.690665995,1780597012,690111404,0
2026/06/04 15:16:52.710685861,1780597012,710112027,0
2026/06/04 15:16:52.730538011,1780597012,730048995,0
2026/06/04 15:16:52.750773928,1780597012,750073677,0
2026/06/04 15:16:52.771054281,1780597012,770179113,0
2026/06/04 15:16:52.791142231,1780597012,790234967,0
2026/06/04 15:16:52.810795440,1780597012,810148272,0
2026/06/04 15:16:52.830637531,1780597012,830080137,0
2026/06/04 15:16:52.850581095,1780597012,850078339,0
2026/06/04 15:16:52.870723189,1780597012,870145394,0
2026/06/04 15:16:52.891195229,1780597012,890103652,0
2026/06/04 15:16:52.911191082,1780597012,910186545,0
2026/06/04 15:16:52.930775701,1780597012,930103942,0
2026/06/04 15:16:52.950795754,1780597012,950114269,0
2026/06/04 15:16:52.970659336,1780597012,970121114,0
2026/06/04 15:16:52.990585021,1780597012,990119498,0
2026/06/04 15:16:53.10652588,1780597013,10197231,0
2026/06/04 15:16:53.30663028,1780597013,30143214,0
2026/06/04 15:16:53.50885359,1780597013,50101490,0
2026/06/04 15:16:53.70662927,1780597013,70126511,0
2026/06/04 15:16:53.90899708,1780597013,90180206,0
2026/06/04 15:16:53.110786346,1780597013,110074085,0
2026/06/04 15:16:53.130515338,1780597013,130071362,0
2026/06/04 15:16:53.150520058,1780597013,150109924,0
2026/06/04 15:16:53.170524689,1780597013,170106076,0
2026/06/04 15:16:53.191024323,1780597013,190110649,0
2026/06/04 15:16:53.210799890,1780597013,210089713,0
2026/06/04 15:16:53.230700103,1780597013,230149493,0
2026/06/04 15:16:53.250825156,1780597013,250143101,0
2026/06/04 15:16:53.270625841,1780597013,270101258,0
2026/06/04 15:16:53.290634250,1780597013,290118294,0
2026/06/04 15:16:53.310760089,1780597013,310094866,0
2026/06/04 15:16:53.330771128,1780597013,330103033,0
2026/06/04 15:16:53.350891722,1780597013,350185864,0
2026/06/04 15:16:53.370709410,1780597013,370094744,0
2026/06/04 15:16:53.390901582,1780597013,390134542,0
2026/06/04 15:16:53.410659557,1780597013,410069427,0
2026/06/04 15:16:53.430607389,1780597013,430141105,0
2026/06/04 15:16:53.450850528,1780597013,450133310,0
2026/06/04 15:16:53.470672140,1780597013,470104307,0
2026/06/04 15:16:53.490998772,1780597013,490113540,0
2026/06/04 15:16:53.510820504,1780597013,510102583,0
2026/06/04 15:16:53.530688809,1780597013,530129010,0
2026/06/04 15:16:53.551128614,1780597013,550180502,0
2026/06/04 15:16:53.570682264,1780597013,570119310,0
2026/06/04 15:16:53.590683637,1780597013,590116662,0
2026/06/04 15:16:53.610505502,1780597013,610102294,0
2026/06/04 15:16:53.630849907,1780597013,630131192,0
2026/06/04 15:16:53.651141499,1780597013,650185623,0
2026/06/04 15:16:53.670939781,1780597013,670117716,0
2026/06/04 15:16:53.690808951,1780597013,690104134,0
2026/06/04 15:16:53.710669935,1780597013,710149350,0
2026/06/04 15:16:53.730635543,1780597013,730145429,0
2026/06/04 15:16:53.750771904,1780597013,750126186,0
2026/06/04 15:16:53.770826526,1780597013,770128809,0
2026/06/04 15:16:53.790983985,1780597013,790115665,0
2026/06/04 15:16:53.811352644,1780597013,810197273,0
2026/06/04 15:16:53.830841360,1780597013,830231932,0
2026/06/04 15:16:53.850827542,1780597013,850127461,0
2026/06/04 15:16:53.870667748,1780597013,870103331,0
2026/06/04 15:16:53.890904684,1780597013,890218928,0
2026/06/04 15:16:53.911037164,1780597013,910220216,0
2026/06/04 15:16:53.931103774,1780597013,930205863,0
2026/06/04 15:16:53.951120644,1780597013,950257287,0
2026/06/04 15:16:53.971325790,1780597013,970262098,0
2026/06/04 15:16:53.991089507,1780597013,990224631,0
2026/06/04 15:16:54.10860765,1780597014,10195167,0
2026/06/04 15:16:54.30768548,1780597014,30189090,0
2026/06/04 15:16:54.50603619,1780597014,50178038,0
2026/06/04 15:16:54.71556637,1780597014,70269975,0
2026/06/04 15:16:54.91209759,1780597014,90136046,0
2026/06/04 15:16:54.111186760,1780597014,110258994,0
2026/06/04 15:16:54.130760274,1780597014,130214140,0
2026/06/04 15:16:54.150679690,1780597014,150103825,0
2026/06/04 15:16:54.170715387,1780597014,170153355,0
2026/06/04 15:16:54.190773855,1780597014,190176711,0
2026/06/04 15:16:54.211065781,1780597014,210184965,0
2026/06/04 15:16:54.231077649,1780597014,230166783,0
2026/06/04 15:16:54.250846005,1780597014,250229257,0
2026/06/04 15:16:54.270786331,1780597014,270102904,0
2026/06/04 15:16:54.290498407,1780597014,290095856,0
2026/06/04 15:16:54.310856062,1780597014,310208702,0
2026/06/04 15:16:54.330598320,1780597014,330067993,0
2026/06/04 15:16:54.350810740,1780597014,350172052,0
2026/06/04 15:16:54.371076374,1780597014,370185751,0
2026/06/04 15:16:54.390984189,1780597014,390168976,0
2026/06/04 15:16:54.411385132,1780597014,410263847,0
2026/06/04 15:16:54.430973309,1780597014,430223548,0
2026/06/04 15:16:54.450499370,1780597014,450060834,0
2026/06/04 15:16:54.470900496,1780597014,470176601,0
2026/06/04 15:16:54.490715047,1780597014,490119785,0
2026/06/04 15:16:54.511149439,1780597014,510116334,0
2026/06/04 15:16:54.531337099,1780597014,530197907,0
2026/06/04 15:16:54.551220865,1780597014,550192653,0
2026/06/04 15:16:54.571385658,1780597014,570258993,0
2026/06/04 15:16:54.590863677,1780597014,590192803,0
2026/06/04 15:16:54.610678724,1780597014,610087243,0
2026/06/04 15:16:54.630726688,1780597014,630234419,0
